division,neighborhood,latitude,longitude
Central,Boyle Heights,34.04004000000003,-118.21049999999997
Central,Chinatown,34.06216000000006,-118.23843
Central,Downtown,34.04834000000005,-118.25563999999997
Central,Echo Park,34.076040000000035,-118.25570999999997
Central,Elysian Park,34.08250000000004,-118.23319999999995
Central,Historic South-Central,34.01979000000006,-118.25727999999998
Central,Lincoln Heights,34.069830000000024,-118.21163999999999
Central,Pico-Union,34.04004000000003,-118.28581999999994
Central,University Park,34.02819000000005,-118.28396999999995
Central,Westlake,34.053710000000024,-118.27129999999994
Rampart,Chinatown,34.06216000000006,-118.23843
Rampart,Downtown,34.04834000000005,-118.25563999999997
Rampart,East Hollywood,34.09086000000008,-118.29334999999998
Rampart,Echo Park,34.076040000000035,-118.25570999999997
Rampart,Koreatown,34.05779000000007,-118.30090999999999
Rampart,Pico-Union,34.04004000000003,-118.28581999999994
Rampart,Silver Lake,34.082730000000026,-118.27306999999996
Rampart,Westlake,34.053710000000024,-118.27129999999994
Southwest,Adams-Normandie,34.07807700532026,-118.30120199999999
Southwest,Arlington Heights,34.03989000000007,-118.32541999999995
Southwest,Baldwin Hills/Crenshaw,34.011569938831634,-118.33646000779022
Southwest,Culver City,34.02161000000007,-118.39620999999994
Southwest,Downtown,34.04834000000005,-118.25563999999997
Southwest,Exposition Park,34.011390037797625,-118.2900799976923
Southwest,Historic South-Central,34.01979000000006,-118.25727999999998
Southwest,Hyde Park,33.989040000000045,-118.32669999999996
Southwest,Jefferson Park,34.03264000000007,-118.31801999999999
Southwest,Ladera Heights,33.994020000000035,-118.37398999999999
Southwest,Leimert Park,34.008380000000045,-118.33044999999998
Southwest,Mid-City,34.040170000000046,-118.34762999999998
Southwest,Pico-Union,34.04004000000003,-118.28581999999994
Southwest,University Park,34.02819000000005,-118.28396999999995
Southwest,Vermont Square,34.00058000000007,-118.29673999999994
Southwest,View Park-Windsor Hills,33.995510000000024,-118.34834999999998
Southwest,West Adams,34.02798000000007,-118.35313999999994
Hollenbeck,Alhambra,34.09370000000007,-118.12726999999995
Hollenbeck,Boyle Heights,34.04004000000003,-118.21049999999997
Hollenbeck,Cypress Park,34.09448000000003,-118.22677999999996
Hollenbeck,East Los Angeles,34.03347000000008,-118.15908999999999
Hollenbeck,El Sereno,34.076850000000036,-118.17933999999997
Hollenbeck,Elysian Park,34.08250000000004,-118.23319999999995
Hollenbeck,Highland Park,34.10982000000007,-118.19231999999994
Hollenbeck,Lincoln Heights,34.069830000000024,-118.21163999999999
Hollenbeck,Montecito Heights,34.091980000000035,-118.20100999999994
Hollenbeck,Monterey Park,34.05979000000008,-118.12650999999994
Hollenbeck,South Pasadena,34.115800000000036,-118.15212999999994
Hollenbeck,Vernon,34.005130000000065,-118.23024999999996
Harbor,Carson,33.83161000000007,-118.26208999999994
Harbor,Gardena,33.88379000000003,-118.30701999999997
Harbor,Harbor City,33.79781000000003,-118.30211999999995
