neighborhood,neighborhood_latitude,neighborhood_longitude,venue_name,venue_id,venue_rating,venue_category,venue_address,venue_city,venue_latitude,venue_longitude
Hyde Park,33.989040000000045,-118.32669999999996,STUDIO,4eb5d23e991165b7629674a4,,Music Venue,Slauson Ave (4th Ave),"Los Angeles, CA 90043",33.98956413688305,-118.32131246228056
Hyde Park,33.989040000000045,-118.32669999999996,Fitness19,5bdb7a2146e1b6002c90bf0c,,Gym / Fitness Center,3222 W Slauson Ave (Slauson and Crenshaw),"Los Angeles, CA 90043",33.988457,-118.32999
Hyde Park,33.989040000000045,-118.32669999999996,bruiser academy,4d4a039f5129a35d4aa73fac,,Martial Arts Dojo,54th street & 11th ave,"Los Angeles, CA 90043",33.99326048,-118.3296994
Hyde Park,33.989040000000045,-118.32669999999996,Crenshaw Yoga and Dance,4d686f70c16554819a24df81,,Yoga Studio,5426 Crenshaw Blvd,"Los Angeles, CA 90043",33.99236396887542,-118.3306518722374
Hyde Park,33.989040000000045,-118.32669999999996,Plaza fish market,4c60655cde6920a197d79564,,Seafood Restaurant,3282 W Slauson Ave (Crenshaw&Slauson),"Los Angeles, CA 90043",33.98857453774796,-118.32992732490462
Hyde Park,33.989040000000045,-118.32669999999996,Popeyes Louisiana Kitchen,4bda53152a3a0f4780d8aab6,,Fried Chicken Joint,3268 W Slauson Ave,"Los Angeles, CA 90043",33.98880500284225,-118.3292895094199
Hyde Park,33.989040000000045,-118.32669999999996,Rally's,4d28ef18068e8cfa78d6ca4c,,American Restaurant,3417 W 58th Pl (manchester),"Los Angeles, CA 90043",33.988290107570734,-118.32635258490033
Hyde Park,33.989040000000045,-118.32669999999996,Pizza 8,4ee7ad7a722e0a3285566dba,,Pizza Place,3272 W Slauson Ave,"Los Angeles, CA 90043",33.98880902111635,-118.32994279593072
Hyde Park,33.989040000000045,-118.32669999999996,Slauson Donuts,4da5dc3543a17958beae32b5,,Donut Shop,"Los Angeles, CA 90043",United States,33.989206288400844,-118.33239437961711
Hyde Park,33.989040000000045,-118.32669999999996,Fatburger,53068f1d11d260b56e2c0905,,Burger Joint,5817 Crenshaw Blvd (Slauson Ave),"Los Angeles, CA 90043",33.98847197782472,-118.33131430980438
Hyde Park,33.989040000000045,-118.32669999999996,Louisiana Chicken/Chinese Food,4f2b25a2e4b03d064a72a87d,,Fried Chicken Joint,3403 W Slauson Ave,"Los Angeles, CA 90043",33.98922727736825,-118.3312726957895
Hyde Park,33.989040000000045,-118.32669999999996,Hong Kong Express,4f32a4df19836c91c7ebce08,,Food,3278 W Slauson Ave,"Los Angeles, CA 90043",33.989099,-118.329259
Hyde Park,33.989040000000045,-118.32669999999996,Pec Kish Snack Bar,5bfdec4260d11b002cf71e11,,Caribbean Restaurant,3209 W 54th St (10th Ave),"Los Angeles, CA 90043",33.993281,-118.328642
Hyde Park,33.989040000000045,-118.32669999999996,SUBWAY,4ca79a3414c337047a6ccb3b,,Sandwich Place,3274 W Slauson Ave,"Los Angeles, CA 90043",33.988773843811956,-118.33002349163029
Hyde Park,33.989040000000045,-118.32669999999996,Pioneer Pizza,4ceb0b7e595cb1f79039d714,,Pizza Place,3272 W Slauson Ave,"Los Angeles, CA 90043",33.989133933900625,-118.33157520374019
Hyde Park,33.989040000000045,-118.32669999999996,Woody's Bar-B-Que,3fd66200f964a520d7ef1ee3,,BBQ Joint,3446 W Slauson Ave (at Crenshaw Blvd.),"Los Angeles, CA 90043",33.98899535962303,-118.33263554488616
Hyde Park,33.989040000000045,-118.32669999999996,Burger King,4c94ea88533aa093b3c3c345,,Fast Food Restaurant,5850 Crenshaw Blvd,"Los Angeles, CA 90043",33.98840252762915,-118.33043776452541
Hyde Park,33.989040000000045,-118.32669999999996,Bill's Taco House #3,4bf20f81d39ad13afcfeaa0e,,Taco Place,3292 W Slauson Ave,"Los Angeles, CA 90043",33.988260866029464,-118.32994040482603
Hyde Park,33.989040000000045,-118.32669999999996,the bufflalo spot,55aaa9bb498efd25762731b8,,Wings Joint,3286 W Slauson Ave (11th St),"Los Angeles, CA 90043",33.988447,-118.32991
Hyde Park,33.989040000000045,-118.32669999999996,Hungry Harold's,4ca77e7a44a8224bf9dc0d40,,American Restaurant,3453 W Slauson Ave (Crenshaw),"Los Angeles, CA 90043",33.989135400310914,-118.3326975225157
Hyde Park,33.989040000000045,-118.32669999999996,Fred's Downhome Burgers,4aff28cdf964a520213522e3,,Restaurant,2524 W Slauson Ave (4th St),"Los Angeles, CA 90043",33.9888230966532,-118.32142549868028
Hyde Park,33.989040000000045,-118.32669999999996,Taco Bell,4c68b80b3bad2d7f623caeee,,Fast Food Restaurant,6000 Crenshaw Blvd (60 th),"Los Angeles, CA 90043",33.98520992406116,-118.33060247182418
Hyde Park,33.989040000000045,-118.32669999999996,Mama's Chicken,4ceeb13e62ef6dcb724efa59,,Deli / Bodega,2510 W Slauson Ave (4th Ave),"Los Angeles, CA 90043",33.988926511345475,-118.32107580992583
Hyde Park,33.989040000000045,-118.32669999999996,The Family Soul Food Mexican Food Bakery Restaurant,4bb001b1f964a5205c313ce3,,Fast Food Restaurant,3326 W 59th Pl (Crenshaw Blvd),"Los Angeles, CA 90043",33.98612558841705,-118.33058059215546
Hyde Park,33.989040000000045,-118.32669999999996,Strip Club,561b2056498e522fdf1b67a3,,Strip Club,"Los Angeles, CA",United States,33.99137889716107,-118.32870991805683
Hyde Park,33.989040000000045,-118.32669999999996,The Ave,4dde9523c65bb2aa7393b010,,Nightlife Spot,"Los Angeles, CA",United States,33.99165112387601,-118.32730008837106
Hyde Park,33.989040000000045,-118.32669999999996,Tunechi Village,50794d71e4b08ac08dc41259,,Nightclub,"Los Angeles, CA 90043",United States,33.98521793284293,-118.32749940333498
Hyde Park,33.989040000000045,-118.32669999999996,TecMaster,5047de1ae4b0d14d95e9f659,,Automotive Shop,3001 W Slauson Ave (8th Ave.),"Los Angeles, CA 90043",33.989225680297615,-118.32627267472662
Hyde Park,33.989040000000045,-118.32669999999996,Viva Bargain Center,4bcbcc1a511f95213b32b2c7,,Department Store,3231 W 59th st,"Los Angeles, CA 90043",33.98774863996719,-118.32891308434289
Hyde Park,33.989040000000045,-118.32669999999996,T-Mobile,589dbce42c55ec7cf2a53d20,,Mobile Phone Shop,3214 W Slauson Ave,"Los Angeles, CA 90043",33.988853,-118.328862
Hyde Park,33.989040000000045,-118.32669999999996,Slauson Liquor,4c7d64468da18cfa073d9fce,,Liquor Store,2825 W Slauson Ave,"Los Angeles, CA 90043",33.98925597363918,-118.32439263428363
Hyde Park,33.989040000000045,-118.32669999999996,Rainbow Apparel,4dc5d39dc65b89d3ca79a218,,Clothing Store,3214 W Slauson Ave,"Los Angeles, CA 90043",33.98870979490098,-118.32879450613422
