precinct,division,location,latitude,longitude
1,CENTRAL,251 E. 6TH ST.,34.04388162291549,-118.2477097669967
2,RAMPART,1401 W. 6TH ST.,34.056329650652614,-118.267360343396
3,SOUTHWEST,1546 MARTIN LUTHER KING JR. BLVD.,34.01081453231589,-118.30488299999999
4,HOLLENBECK,2111 E. 1ST ST.,34.044699983118264,-118.21315013789834
5,HARBOR,2175 JOHN S. GIBSON BLVD.,33.7574659723004,-118.28887428824505
6,HOLLYWOOD,1358 N. WILCOX AVE.,34.09584169025911,-118.33094835815696
7,WILSHIRE,4861 VENICE BLVD.,34.046400202377214,-118.34295700790585
8,WEST LOS ANGELES,1663 BUTLER AVE.,34.043964119885835,-118.4506234087078
9,VAN NUYS, 6240 SYLMAR AVE.,34.18365998167814,-118.44648074259989
10,WEST VALLEY,19020 VANOWEN ST.,34.19380552063048,-118.54798199999999
11,NORTHEAST,3353 SAN FERNANDO RD.,34.11890816351178,-118.24983179594935
12,77TH STREET,7600 S. BROADWAY,33.97058061226845,-118.27827034315332
13,NEWTON,3400 S. CENTRAL AVE.,34.01259985261704,-118.2564793536849
14,PACIFIC,12312 CULVER BLVD.,33.991707894160584,-118.42024246639816
15,NORTH HOLLYWOOD,11640 BURBANK BLVD.,34.172119523948695,-118.38567151889879
16,FOOTHILL,12760 OSBORNE ST.,34.25323521948633,-118.41067771194157
17,DEVONSHIRE,10250 ETIWANDA AVE.,34.25692863558197,-118.53169742988655
18,SOUTHEAST,145 W. 108TH ST.,33.93831447879261,-118.27543419317328
19,MISSION,11121 N. SEPULVEDA BLVD.,34.272719663079094,-118.46760332760047
20,OLYMPIC,1130 S. VERMONT AVE.,34.05072256391577,-118.29154606391577
21,TOPANGA,21501 SCHOENBORN ST.,34.22095246551973,-118.59964191618096
